corridor,corridor_trip_count,corridor_median_factor,corridor_mean_factor,corridor_pct_delayed,corridor_median_actual_time,corridor_median_osrm_time,corridor_median_dwell,corridor_main_route_type,is_reliable,estimated_sla_breaches
IND532127AAA_IND535591AAA,21,1.642857143,1.667234959,1.0,70.0,43.0,14.0,FTL,1,21
IND244221AAA_IND131028AAB,21,1.873015873,1.8851982027619048,1.0,243.0,127.0,57.0,FTL,1,21
IND848114AAA_IND848210AAA,21,1.72,1.7963997113809524,1.0,41.0,24.0,30.0,FTL,1,21
IND834002AAB_IND826004AAA,21,2.420634921,2.474888770904762,1.0,305.0,126.0,236.0,Carting,1,21
IND847226AAA_IND842001AAA,21,8.976190476,8.879569168,1.0,746.0,84.0,40.0,FTL,1,21
IND444602AAA_IND444005AAB,21,2.081081081,2.1757238471904765,1.0,155.0,74.0,64.0,FTL,1,21
IND422011AAD_IND421302AAG,21,1.946236559,2.756963465571429,1.0,183.0,97.0,269.0,FTL,1,21
IND847212AAA_IND847226AAA,21,1.814814815,2.0753338373333334,1.0,48.0,27.0,68.0,FTL,1,21
IND160002AAC_IND140901AAA,21,1.434782609,1.7115373706666668,1.0,66.0,47.0,51.0,Carting,1,21
IND521225AAB_IND521201AAA,21,1.566037736,1.900874282952381,1.0,83.0,53.0,142.0,FTL,1,21
IND460001AAA_IND480334AAA,21,2.215384615,2.233066239238095,1.0,145.0,65.0,21.0,FTL,1,21
IND585330AAE_IND585401AAA,21,1.794117647,1.8444990117142857,1.0,62.0,34.0,41.0,FTL,1,21
IND151001AAA_IND160002AAC,21,1.534591195,1.6699711725238096,1.0,244.0,159.0,131.0,FTL,1,21
IND000000ACT_IND160002AAC,21,2.026455026,2.0390751766666666,1.0,382.0,188.0,82.0,FTL,1,21
IND136027AAA_IND132039AAA,21,1.823529412,2.030193098238095,1.0,62.0,34.0,70.0,FTL,1,21
IND140301AAA_IND140001AAA,21,1.666666667,1.8204175293333331,1.0,40.0,24.0,27.0,FTL,1,21
IND131028AAB_IND244235AAA,21,1.624,1.6515584604761904,1.0,199.0,121.0,187.0,FTL,1,21
IND400072AAB_IND421302AAR,21,2.0,2.0451996674285717,1.0,46.0,23.0,62.0,Carting,1,21
IND262802AAA_IND262723AAB,21,2.536231884,2.618788964952381,1.0,175.0,69.0,39.0,FTL,1,21
