corridor,corridor_trip_count,corridor_median_factor,corridor_mean_factor,corridor_pct_delayed,corridor_median_actual_time,corridor_median_osrm_time,corridor_median_dwell,corridor_main_route_type,is_reliable
IND110037AAM_IND421302AAG,18,1.9914744235,2.0411166400000003,1.0,1985.5,997.0,321.5,FTL,1
IND110037AAM_IND781018AAB,1,2.499230769,2.499230769,1.0,3249.0,1300.0,453.0,FTL,0
IND110037AAM_IND811399AAA,11,1.257142857,1.722592851818182,0.5454545454545454,44.0,35.0,212.0,FTL,1
IND110039AAA_IND110085AAB,3,3.733333333,4.428968254,1.0,56.0,15.0,81.0,Carting,0
IND110043AAA_IND000000ACB,5,2.5,2.933582343,1.0,100.0,40.0,132.0,Carting,1
IND110043AAA_IND110078AAA,33,1.666666667,1.8411613114848486,0.8787878787878788,34.0,21.0,37.0,Carting,1
IND110043AAC_IND000000ACB,1,1.620689655,1.620689655,1.0,94.0,58.0,139.0,Carting,0
IND110044AAB_IND000000ACB,76,1.7130750605,1.8313421839078945,1.0,103.5,60.0,77.0,Carting,1
IND110044AAB_IND110030AAD,30,1.5166666665,1.6601195564000002,0.8666666666666667,22.0,15.0,51.0,Carting,1
IND110044AAB_IND110037AAM,3,2.047619048,2.008916494333333,1.0,43.0,23.0,76.0,Carting,0
IND110044AAB_IND131028AAB,40,1.6232193735,1.813818994925,1.0,86.0,52.0,90.5,Carting,1
IND110044AAB_IND201007AAA,11,2.52173913,2.8652148247272726,1.0,58.0,23.0,94.0,Carting,1
IND110044AAB_IND201301AAF,12,1.5555555555,1.7113654864166667,0.9166666666666666,21.0,14.0,48.5,Carting,1
IND110052AAA_IND000000ACB,10,1.6617866005000002,1.8935382941,1.0,107.0,63.5,111.5,Carting,1
IND110064AAA_IND000000ACB,39,1.3,1.547623844846154,0.8974358974358975,64.0,52.0,60.0,Carting,1
IND110064AAA_IND110005AAA,2,2.653846154,2.653846154,1.0,31.5,12.0,57.5,Carting,0
IND110064AAA_IND110046AAA,1,3.0,3.0,1.0,45.0,15.0,92.0,Carting,0
IND110077AAA_IND110043AAA,1,1.333333333,1.333333333,1.0,20.0,15.0,57.0,Carting,0
IND110078AAA_IND110043AAA,14,2.7329192545,3.0551665725714288,1.0,60.0,21.0,46.0,Carting,1
IND110083AAA_IND110085AAB,1,2.941176471,2.941176471,1.0,50.0,17.0,102.0,Carting,0
IND110085AAB_IND000000ACB,7,2.698412698,3.412926823,1.0,170.0,64.0,20.0,Carting,1
IND110085AAB_IND110039AAA,4,1.738095238,1.759672619,0.5,28.5,16.0,21.0,Carting,0
IND110085AAB_IND110083AAA,3,4.0,3.711111111333333,1.0,56.0,15.0,12.0,Carting,0
IND110085AAB_IND110085AAA,1,2.076923077,2.076923077,1.0,27.0,13.0,699.0,Carting,0
IND110085AAB_IND110087AAA,3,2.0,2.153846154,0.6666666666666666,26.0,13.0,15.0,Carting,0
IND110092AAC_IND000000ACB,6,2.0197685635,2.038739667,1.0,130.0,68.0,55.5,Carting,1
IND110092AAC_IND110093AAA,1,3.25,3.25,1.0,52.0,16.0,47.0,Carting,0
IND110093AAA_IND110092AAC,1,3.222222222,3.222222222,1.0,58.0,18.0,30.0,Carting,0
IND110095AAB_IND000000ACB,1,1.521126761,1.521126761,1.0,108.0,71.0,57.0,Carting,0
IND121001AAA_IND121004AAB,27,1.833333333,2.3053104302962963,0.9629629629629629,20.0,11.0,18.0,Carting,1
IND121002AAB_IND000000ACB,28,2.0703125,2.223755997535714,1.0,132.5,65.0,78.5,Carting,1
IND121004AAA_IND121004AAB,10,2.3833333335,3.4154349817,1.0,33.0,14.5,77.5,Carting,1
IND121004AAB_IND000000ACB,34,1.809090909,2.0564631362941177,1.0,118.5,65.0,23.5,Carting,1
IND121004AAB_IND110037AAM,37,2.518518519,2.5208631708648648,1.0,63.0,25.0,30.0,Carting,1
IND121004AAB_IND121001AAA,24,1.7333333335,1.7935070716666666,1.0,19.5,10.5,29.0,Carting,1
IND121004AAB_IND121002AAA,1,2.909090909,2.909090909,1.0,32.0,11.0,26.0,Carting,0
IND121004AAB_IND121004AAA,23,1.75,1.8579646802173913,1.0,22.0,12.0,39.0,Carting,1
IND121004AAB_IND121004AAC,9,1.846153846,2.3392094016666665,1.0,26.0,13.0,26.0,Carting,1
IND121004AAB_IND121102AAA,41,1.931034483,2.0436325567804876,1.0,56.0,28.0,30.0,Carting,1
IND121004AAC_IND121004AAB,5,2.166666667,2.7528873088,1.0,26.0,12.0,20.0,Carting,1
IND121102AAA_IND121004AAB,12,3.992857143,4.2783851791666665,1.0,115.0,29.0,50.0,Carting,1
IND122001AAA_IND000000ACB,20,1.7235521235,1.6665425906500002,0.95,61.5,34.0,43.0,Carting,1
IND122001AAA_IND110037AAM,1,3.866666667,3.866666667,1.0,58.0,15.0,33.0,Carting,0
IND122001AAA_IND122001AAD,3,3.2,3.312393162333333,1.0,41.0,12.0,21.0,Carting,0
IND122001AAA_IND122050AAA,1,4.724137931,4.724137931,1.0,137.0,29.0,126.0,Carting,0
IND122001AAA_IND122101AAC,1,1.375,1.375,1.0,22.0,16.0,31.0,Carting,0
IND122001AAD_IND122050AAA,10,1.8455882355,2.1930601012,0.9,34.0,19.0,14.5,Carting,1
IND122001AAJ_IND507123AAA,13,0.775862069,0.7887778218461539,0.0,45.0,58.0,12.0,FTL,1
IND122002AAD_IND122503AAA,2,2.285,2.285,1.0,51.0,22.5,24.0,Carting,0
IND122004AAA_IND000000ACB,1,1.617647059,1.617647059,1.0,55.0,34.0,141.0,Carting,0
IND122004AAA_IND122413AAE,43,1.696969697,1.7984966813720928,1.0,56.0,34.0,42.0,Carting,1
IND122503AAA_IND122001AAA,2,4.5997151,4.5997151,1.0,121.5,26.5,104.5,Carting,0
IND123001AAA_IND123401AAB,13,1.911764706,1.9941313588461538,1.0,65.0,34.0,27.0,FTL,1
IND123401AAB_IND000000ACB,3,2.0,2.123655914,1.0,124.0,62.0,29.0,FTL,0
IND123401AAB_IND123106AAB,10,1.96,1.9276199095,1.0,98.0,50.0,29.0,FTL,1
IND124001AAB_IND126102AAA,4,2.5203488370000002,2.7731236785,1.0,109.5,43.5,37.0,FTL,0
IND124103AAA_IND127021AAA,9,1.884615385,1.923480083888889,1.0,98.0,52.0,12.0,FTL,1
IND124112AAA_IND125001AAA,2,2.8161616164999996,2.8161616164999996,1.0,125.5,44.5,26.5,FTL,0
IND124112AAA_IND125005AAA,2,2.450724638,2.450724638,1.0,111.5,45.5,20.0,FTL,0
IND124112AAA_IND125033AAA,4,1.7214285715000002,1.740982485,1.0,50.0,28.5,34.5,FTL,0
IND124141AAA_IND000000ACB,10,1.9940084384999999,1.9713972545,1.0,155.0,79.0,20.5,FTL,1
IND124507AAA_IND131028AAB,9,2.260869565,2.55269247,1.0,104.0,45.0,21.0,FTL,1
IND124507AAA_IND131028AAE,3,2.511627907,2.6025291676666664,1.0,108.0,44.0,211.0,FTL,0
IND125001AAA_IND000000ACB,10,2.003758983,2.1078607545,1.0,270.5,135.0,96.5,FTL,1
IND125001AAA_IND110037AAM,11,3.641791045,3.830362649636364,1.0,488.0,132.0,93.0,FTL,1
IND125001AAA_IND125047AAB,7,2.057142857,2.0509791795714287,1.0,73.0,35.0,82.0,FTL,1
IND125001AAA_IND125051AAA,1,3.349206349,3.349206349,1.0,211.0,63.0,93.0,FTL,0
IND125001AAA_IND335501AAA,1,1.890410959,1.890410959,1.0,138.0,73.0,564.0,FTL,0
IND125001AAA_IND335513AAA,7,1.746666667,1.7480016762857142,1.0,262.0,151.0,106.0,FTL,1
IND125001AAA_IND335523AAB,4,3.147557328,3.1225074775,1.0,372.5,118.0,63.0,FTL,0
IND125001AAA_IND335524AAA,5,1.902439024,1.9264775286,1.0,312.0,164.0,55.0,FTL,1
IND125005AAA_IND000000ACB,5,1.927007299,1.9270180334000002,1.0,264.0,137.0,94.0,FTL,1
IND125005AAA_IND125047AAB,3,2.171428571,2.144537815,1.0,74.0,35.0,62.0,FTL,0
IND125005AAA_IND335513AAA,3,1.773333333,1.7751528706666668,1.0,266.0,150.0,73.0,FTL,0
IND125005AAA_IND335523AAB,1,2.605042017,2.605042017,1.0,310.0,119.0,78.0,FTL,0
IND125005AAA_IND335524AAA,2,1.677826166,1.677826166,1.0,278.5,166.0,98.0,FTL,0
IND125033AAA_IND125001AAA,3,2.0,1.9948400409999998,1.0,34.0,17.0,10.0,FTL,0
IND125033AAA_IND125005AAA,2,2.0620915035,2.0620915035,1.0,36.0,17.5,14.0,FTL,0
IND125047AAB_IND125050AAA,1,2.714285714,2.714285714,1.0,95.0,35.0,18.0,FTL,0
IND125047AAB_IND125051AAA,10,2.184210526,2.127404737,1.0,125.0,57.0,17.5,FTL,1
IND125050AAA_IND125051AAA,2,1.7186147185,1.7186147185,1.0,37.0,21.5,11.5,FTL,0
IND125051AAA_IND125111AAA,4,1.0489583335,1.0351897205,0.0,32.0,31.0,16.0,FTL,0
IND125104AAA_IND125005AAA,1,2.587155963,2.587155963,1.0,282.0,109.0,165.0,FTL,0
IND125111AAA_IND125121AAA,2,3.2958669355000003,3.2958669355000003,1.0,103.5,31.5,25.0,FTL,0
IND125121AAA_IND125001AAA,3,3.9,3.333716475333333,1.0,117.0,30.0,375.0,FTL,0
IND126102AAA_IND126116AAA,5,2.260869565,2.2231884056,1.0,52.0,23.0,58.0,FTL,1
IND126102AAA_IND131301AAA,2,2.1571428575000002,2.1571428575000002,1.0,75.5,35.0,24.0,FTL,0
IND126112AAA_IND131028AAB,16,2.1301369865,2.2134570076875,0.9375,153.5,71.0,160.5,FTL,1
IND126116AAA_IND131301AAA,5,2.819672131,2.862406224,1.0,172.0,61.0,59.0,FTL,1
IND127021AAA_IND127201AAA,8,1.8421052635000001,2.02396255075,1.0,70.0,38.5,52.5,FTL,1
IND127201AAA_IND124141AAA,3,2.4375,2.5254629630000003,1.0,78.0,33.0,11.0,FTL,0
IND131021AAA_IND131028AAA,58,1.625,1.6897845927931034,0.8620689655172413,16.0,11.0,26.0,Carting,1
IND131028AAB_IND000000ACB,86,1.5946704065000001,1.7912952460813953,0.9767441860465116,148.5,93.0,178.5,Carting,1
IND131028AAB_IND110037AAM,7,2.275862069,2.429703490142857,1.0,133.0,57.0,184.0,Carting,1
IND131028AAB_IND124001AAB,4,1.778846154,1.7328574205,1.0,96.0,54.5,119.0,FTL,0
IND131028AAB_IND124507AAA,10,1.9404761905,2.1397042066000003,1.0,83.0,42.0,100.5,FTL,1
IND131028AAB_IND132103AAA,2,2.8910256409999997,2.8910256409999997,1.0,114.5,39.5,335.5,FTL,0
IND131028AAB_IND136118AAA,17,1.989361702,2.0275391688235294,1.0,186.0,95.0,220.0,FTL,1
IND131028AAB_IND160002AAC,30,1.7595419845,1.7873658736,1.0,230.5,130.0,150.0,FTL,1
IND131028AAB_IND201204AAA,9,2.095238095,2.0759719616666668,1.0,87.0,42.0,189.0,FTL,1
IND131028AAB_IND244001AAA,19,1.697986577,1.807604665631579,1.0,262.0,156.0,364.0,FTL,1
IND131028AAB_IND244235AAA,21,1.611570248,1.6374159128571428,1.0,197.0,121.0,194.0,FTL,1
IND131028AAB_IND247667AAA,5,1.964028777,1.8971994561999999,1.0,273.0,139.0,193.0,FTL,1
IND131028AAB_IND247667AAB,15,1.928571429,1.9063552805333333,1.0,270.0,140.0,179.0,FTL,1
IND131028AAB_IND248001AAA,2,1.7934272305,1.7934272305,1.0,382.0,213.0,284.5,FTL,0
